image,text
34.png,اقتصادی صورتحال کے حوالے سے سوال کیا گیا تھا۔
35.png,ڈھاکہ ( جنگ نیوز) بھارتی وزیراعظم منموہن سنگھ نے کہا
36.png,ہے کہ اگر انہیں بنگلہ دیش کے دورے کے دوران
37.png,کر دی ہیں۔ اس کے باوجود کارکردگی میں بہتری نہیں
38.png,ہلسا مچھلی پیش کی جائے تو وہ گوشت نہ کھانے
39.png,کا عہد توڑنے کے لئے تیار ہیں۔ بھارتی وزیراعظم منموہن
40.png,سنگھ دو روزہ سرکاری دورے پر بنگلہ دیش پہنچے ہیں۔
41.png,منموہن سنگھ نے بنگلہ دیش کی نیوز ایجنسی کو ایک
42.png,انٹرویو میں بتایا کہ اگرچہ وہ سبزی خور ہیں لیکن
43.png,بنگلہ دیش انہیں ہلسا مچھلی پیش کرنے کی کوشش کرے
44.png,گا۔انہوں نے کہا کہ ’میں سبزی کے علاوہ کچھ نہ
45.png,کھانے کا عہد توڑنے کو تیار ہوں کیونکہ میں نے
46.png,سنا ہے کہ ہلسا مچھلی بہت ذائقہ دار ہوتی ہے‘۔
47.png,واضح رہے کہ بنگلہ دیش میں ہلسا مچھلی کو بہت
48.png,آئی۔
49.png,پسند کیا جاتا ہے۔ اگرچہ ہلسا مچھلی بھارت کے بازاروں
50.png,سے بھی مل جاتی ہے تاہم بنگلہ دیش کے دریاوٴں
51.png,میں پائی جانے والی مچھلی بہت ذائقہ دار ہوتی ہے۔
52.png,کراچی (اسٹاف رپورٹر) وزیراعلیٰ سندھ سید قائم علی شاہ سے
53.png,گزشتہ روز سابق وفاقی وزیر قانون سینیٹر بابر اعوان اور
54.png,اسپیکر نثار احمد کھوڑو نے ملاقاتیں کیں۔ اس موقع پر
55.png,"ملک کی سیاسی صورتحال،بالخصوص کراچی میں امن واماں کی صورتحال،"
56.png,سندھ میں حالیہ بارشوں سے ہونے والے نقصانات اور ریلیف
57.png,کے معاملات پر تبادہ خیال کیا گیا۔ وزیراعلیٰ سندھ نے
58.png,سینیٹر بابر اعوان کو بتایا کہ وہ گزشتہ دو دنوں
59.png,اسلام آباد (نمائندہ جنگ) سپریم کورٹ نے حج کرپشن اسکینڈل
60.png,سے اندرون سندھ میں بارش سے تباہ شدہ کچھ علاقوں
61.png,کے دورے پر تھے جہاں انہوں نے متاثرہ افراد سے
62.png,ملاقات کی اور ان کے دکھوں اور تکالیف میں شرکت
63.png,کی۔ وزیراعلیٰ سندھ نے بتایا کہ صوبہ سندھ حالیہ بارشوں
64.png,سے بری طرح سے متاثر ہوا ہے۔ لاکھوں افراد بے
65.png,گھر ہو گئے ہیں جنہیں ریلیف کیمپوں میں رکھا گیا
66.png,ہے۔ انہوں نے بتایا کہ فصلوں کو بڑا نقصان پہنچا
67.png,"ہے، راستے تباہ ہو گئے ہیں، مکانات گر گئے ہیں"
68.png,جبکہ حکومت ان متاثرین کی امداد اور دوبارہ بحالی کیلئے
69.png,شب و روز کوشاں ہے۔ انہوں نے کہا کہ نقصانات
70.png,کیس میں ڈی جی ایف آئی اے وسیم احمد کی
71.png,کے سروے کا کام جاری ہے۔ دونوں رہنماؤں نے اس
72.png,عزم کا اعادہ کیا کہ صوبے کے متاثرہ افراد کی
73.png,امداد کے لئے بھرپور کوششیں کی جائیں گی۔
74.png,درخواست پر اٹارنی جنرل کو ہدایت کی ہے کہ ڈی
75.png,جی ایف آئی اے کو تحقیقات سے الگ کرنے کے
76.png,بارے میں حکومتی لائحہ عمل سے 3 روز میں عدالت
77.png,پر ایسا گھناوٴنا عمل کرکے دنیا بھر میں اسلام کی
78.png,"کو آگاہ کیا جائے، چیف جسٹس افتخار محمد چوہدری نے"
79.png,کہا کہ وسیم احمد رہے اور کیس خراب ہو گیا
80.png,تو عدالت کسی سے رعایت نہیں برتے گی۔ چیف جسٹس
81.png,"کی سربراہی میں جسٹس جاوید اقبال، جسٹس تصدق حسین جیلانی،"
82.png,"جسٹس انور ظہیر جمالی، جسٹس راجہ فیاض احمد، جسٹس غلام"
83.png,ربانی اور جسٹس خلیل الرحمن رمدے پر مشتمل 7 رکنی
84.png,بنچ نے سماعت کی۔ عدالت نے مزید سماعت 20 جنوری
85.png,تک ملتوی کر دی۔ عدالت نے حجاج کرام کو 700
86.png,ریال کی واپسی کے حوالے سے حکومتی اقدامات کو سراہا۔
87.png,عدالت کو ایف آئی اے کے تفتیشی آفیسر نے بتایا
88.png,اچھی تصویر پیش کی جارہی ہے یا اس کا امیج
89.png,کہ سابق وزیر حامد سعید کاظمی اور راؤ شکیل کے
90.png,بینک اکاؤنٹس نہیں مل رہے جبکہ عدالت کے روبرو ایف
91.png,آئی اے نے وزیر داخلہ رحمن ملک کا ریکارڈ شدہ
92.png,"بیان بھی عدالت کے سامنے پیش کیا، وزیر داخلہ کا"
93.png,بیان ڈی جی حج آپریشن راؤ شکیل احمد کا نام
94.png,ای سی ایل سے نکالنے کے بارے میں تھا جس
95.png,میں کہا گیا کہ ڈی جی حج آپریشن مقرر ہونے
96.png,کے بعد ان کا سعودی عرب جانا ضروری تھا اس
97.png,لئے ان کا نام ای سی ایل سے نکالا گیا۔
98.png,چیف جسٹس نے کہا کہ وزیر داخلہ کو ای سی
99.png,"خراب کیاجارہاہے؟ یہ اسلام نہیں مذہبی انتہا پسندی ہے، اسلام"
100.png,ایل سے نام نکالنے کا اختیار حاصل نہیں ہے۔ سردار
101.png,لطیف کھوسہ نے عدالت کو بتایا کہ راؤ شکیل کا
102.png,نام ایس ایم ایس کے ذریعے نہیں بلکہ ایس ایم
103.png,ای کے ذریعے ای سی ایل سے نکالا گیا جس
104.png,"کا مطلب وہ سیکرٹری وزارت داخلہ ہے، چیف جسٹس نے"
105.png,کہا کہ وزیر داخلہ کے بیان کے مطابق ای سی
106.png,ایل سے نام نکالنے کا اختیار ان کے پاس ہے
107.png,جبکہ ای سی ایل کے قوانین کے مطابق یہ اختیار
108.png,سیکرٹری داخلہ کے پاس ہے۔ عدالت نے لطیف کھوسہ سے
109.png,کہا کہ آپ یہاں حامد سعید کاظمی کی وکالت کیلئے
110.png,ایسا کرنے کادرس نہیں دیتامگربعض گروپ اسلام کے نام پر
111.png,آئے ہیں وزیر داخلہ کی وکالت کیلئے نہیں آئے۔ سابق
112.png,وفاقی وزیراعظم سواتی کے وکیل افنان کنڈی نے عدالت کو
113.png,بتایا کہ ابھی تک ملزمان کے بنک اکاؤنٹس کی تفصیلات
114.png,نہیں بتائی گئیں جبکہ تفتیشی افسر کو بھی ابھی تک
115.png,سعودی عرب نہیں بھیجا گیا۔ احمد فیض اور حامد سعید
116.png,کی گفتگو کا ریکارڈ اور زین سکھیرا کے سعودی عرب
117.png,دوروں اور دیگر تفصیلات ایف آئی اے کو دی گئی
118.png,ہیں۔ ایڈووکیٹ لطیف کھوسہ نے کہا کہ ایف آئی اے
119.png,کے تفتیشی افسر حسین اصغر کا ویزا لگ گیا ہے
120.png,اوروہ جلد سعودی عرب چلے جائیں گے۔ جسٹس خلیل الرحمن
121.png,مذہبی انتہاپسندی اورمذہبی جنونیت کوپروان چڑھارہے ہیں اور اسلام کے
122.png,رمدے نے کہا کہ جس انداز سے تفتیش کی جا
123.png,رہی ہے اس سے ہم تنگ آ چکے ہیں 35
124.png,"روز گزر گئے تفتیشی افسر کو نہیں بھیجا گیا، ہم"
125.png,شروع سے ہی ڈی جی ایف آئی اے کو کہہ
126.png,رہے ہیں کہ ہم سے نہ سہی کم از کم
127.png,خدا سے تو ڈریں۔ اداروں میں چن چن کر غلط
128.png,بندے لگائے جا رہے ہیں۔ ڈی جی ایف آئی اے
129.png,نے کہا کہ انہوں نے حکومت کو درخواست دی ہے
130.png,کہ ان کو تحقیقات سے الگ کر دیا جائے کیونکہ
131.png,"میں پانچ سیکرٹریوں کو تفتیش کے لئے نہیں بلا سکتا،"
132.png,نام پر تشدد اور جنگ وجدل کادرس دے رہے ہیں۔
133.png,تفتیشی افسر نے بتایا کہ حامد کاظمی اور راؤ شکیل
134.png,وغیرہ کے متعلق 8 بینک اکاؤنٹس چیک کئے گئے ہیں
135.png,"ان میں سے کوئی اکاؤنٹس پاکستان میں موجود نہیں، سیکرٹری"
136.png,مذہبی امور شوکت حیات درانی نے کہا کہ عدالتی احکامات
137.png,کی روشنی میں 26 ہزار چھ سوحاجیوں کو 700 ریال
138.png,فی کس واپس کرنے کے لئے اقدامات کئے جا رہے
139.png,ہیں اور بینکوں کو ہدایت کی ہے کہ آئندہ ہفتے
140.png,سے کام شروع کر دیں۔
141.png,اسلام آباد (اظہر سید … نمائندہ جنگ) حکومت نے بجلی
142.png,کی قیمتوں میں دو فیصد اضافہ کردیاہے تاہم سیاسی صورتحال
143.png,یہ اسلام اور نبی اکرمﷺ سے محبت نہیں۔ نبی اکرم
144.png,کی وجہ سے قیمتوں میں اس اضافہ کااعلان نہیں کیاگیا۔
145.png,انتہائی ذمہ دار حکومتی ذرائع کاکہنا ہے کہ پیٹرولیم مصنوعات
146.png,کی قیمتوں میں اضافہ کا فیصلہ واپس لینے پر وفاقی
147.png,حکومت پر آئی ایم ایف کا شدید دباؤ تھا۔ حکومت
148.png,نے اس دباؤ کے سامنے گھٹنے ٹیکتے ہوئے دسمبر2010ء سے
149.png,بجلی کی قیمتوں میں اضافہ کانوٹیفکیشن جاری کیاہے اور اس
150.png,نوٹیفکیشن کی معمول کی 100کاپیوں کی بجائے صرف 35کاپیاں تیار
151.png,کرائی ہیں۔رواں ماہ جنوری کے بجلی کے بلوں میں دو
152.png,فیصداضافہ شامل ہو گا حکومت کی طرف سے خاموشی کے
153.png,ساتھ جاری کردہ نوٹیفکیشن کے مطابق 50یونٹ تک ماہانہ بجلی
154.png,"ﷺ تو رحمت العالمین بن کر آئے، وہ سارے عالم"
155.png,استعمال کرنے پر فی یونٹ قیمت ایک روپیہ 87 پیسے
156.png,"100 یونٹ تک 4روپیہ 36پیسے ،300یونٹ ماہانہ بجلی استعمال کرنے"
157.png,"پر 6روپیہ 60پیسے ،301 یونٹ سے 700یونٹ تک 10روپیہ 65"
158.png,پیسے جبکہ 700 یونٹ سے زیادہ پر فی یونٹ قیمت
159.png,13روپیہ 29پیسے مقرر کی گئی ہے سنگل فیز میٹر پر
160.png,75 روپیہ اورتھری فیز کنکشن پر 150روپیہ ماہانہ لازمی چارجز
161.png,ہوں گے۔5کلوواٹ سے زیادہ بجلی کے استعمال پر مصروف اوقات
162.png,”پیک اوور“ میں قیمت 12روپیہ 25پیسے اورعام اوقات میں 6روپیہ
163.png,70پیسے فی یونٹ ہوئی کمرشل صارفین کیلئے 5کلو واٹ تک
164.png,بجلی کے استعمال پر قیمت فی یونٹ 13روپیہ اور اس
165.png,"کیلئے رحمت لانے والے ہیں تشدد لانے والے نہیں، آپﷺ"
166.png,سے زیادہ پر 8روپیہ 14پیسے فی یونٹ ہوگی۔ جبکہ 353روپیہ
167.png,ماہانہ لازمی چارجز بھی ہوں گے۔ مصروف اوقات میں فی
168.png,یونٹ قیمت 11روپیہ 49پیسے اورعام اوقات میں 6روپیہ 50پیسے فی
169.png,یونٹ ہوگی صنعتی شعبہ کیلئے 6کلو واٹ تک 8روپیہ 96پیسے
170.png,فی یونٹ جبکہ 6سے 500کے وی تک بجلی کے ا
171.png,ستعمال پر فی یونٹ بجلی کی قیمت7روپے 59پیسے ہوگی جبکہ
172.png,353روپیہ فکسڈ چارجز ہوں گے۔
173.png,"کراچی (اسٹاف رپورٹر) مارکیٹوں میں جبری بھتہ، پرچی، دھمکی آمیز"
174.png,"فون کالز، تاجروں کے بلاجواز قتل، دکانوں پر اشتعال انگیز"
175.png,"فائرنگ،گوداموں اور دکانوں کے تالے توڑکر قیمتی سامان لوٹنے، ڈکیتی،"
176.png,مظاہرہ کے دورا ن بنوں ڈیرہ روڈ بلاک کردی اورسڑک
177.png,تو غیر مسلموں حتیٰ کہ اپنے دشمنوں تک سے حسن
178.png,چوری اور لوٹ مارکے بڑھتے ہوئے واقعات کے خلاف احتجاجی
179.png,لائحہ عمل طے کرنے کیلئے آل کراچی تاجر اتحادکے چیئرمین
180.png,"عتیق میرکی زیرصدارت بدھ 12 جنوری، سہ پہر3 بجے آرام"
181.png,باغ فرنیچر مارکیٹ میں مارکیٹوں کے نمائندوں کا ایک ہنگامی
182.png,اجلاس بلایا گیا ہے جس میں بدامنی اور لوٹ مارکی
183.png,موجودہ تشویشناک صورتحال کیخلاف حکومت اور اس کے حفاظتی اداروں
184.png,کے منفی کردارکی پرزور مذمت کی جائے گی۔ پرامن شٹر
185.png,"بند ہڑتال، احتجاجی ریلیاں، دھرنے اور بھوک ہڑتال کے پروگرام"
186.png,"ترتیب دیئے جائیں گے جن میں سیاسی، مذہبی اور شہری"
187.png,جماعتوں کو بھی شرکت کی دعوت دی جائے گی۔ امن
188.png,"سلوک سے پیش آتے، آپ ﷺ بدلہ لینے والے نہیں"
189.png,"و امان کے قیام میں سیکورٹی اداروں کی ناکامی، حکومت"
190.png,"کی عدم دلچسپی، تجارتی شہرکے کاروباری مستقبل اور تاجروں کی"
191.png,جان و مال کے تحفظ پر غورکیا جائے گا۔ اس
192.png,سلسلے میں آل کراچی تاجر اتحاد کے چیئرمین عتیق میر
193.png,نے پریس کو جاری کیے گئے ایک اعلامیے میں کہا
194.png,"کہ شہری زندگی کی مہذب شناخت ختم ہوگئی،کراچی جگمگاتے ہوئے"
195.png,"جنگل کی تصویر پیش کر رہا ہے۔ ٹارگٹ کلنگ، بھتہ"
196.png,"مافیا، ڈاکووٴں اور لٹیروں نے کراچی کی تجارتی حیثیت کو"
197.png,تباہ و برباد کرکے رکھ دیا ہے۔ کراچی مکمل طور
198.png,"پر ڈاکووٴں، لٹیروں اور بھتہ مافیا کی ریاست بن چکا"
199.png,"بلکہ معاف کرنے والے ہیں، آپ ﷺ نے تو فتح"
